date,gm1
17.12.2014,"186,4"
18.12.2014,"186,6"
19.12.2014,"189,3"
22.12.2014,"191,7"
23.12.2014,"193,1"
24.12.2014,"193,1"
25.12.2014,"193,1"
26.12.2014,"193,1"
29.12.2014,"193,6"
30.12.2014,"194,9"
31.12.2014,"194,9"
01.01.2015,"194,9"
02.01.2015,194
05.01.2015,"194,1"
06.01.2015,"194,1"
07.01.2015,192
08.01.2015,192
09.01.2015,194
12.01.2015,"194,7"
13.01.2015,"194,3"
14.01.2015,"194,5"
15.01.2015,"194,4"
16.01.2015,"194,8"
19.01.2015,"196,7"
20.01.2015,"197,5"
21.01.2015,"198,1"
22.01.2015,"198,7"
23.01.2015,"199,6"
26.01.2015,"203,2"
27.01.2015,"204,6"
28.01.2015,"204,5"
29.01.2015,"203,1"
30.01.2015,"202,9"
02.02.2015,"202,1"
03.02.2015,"201,9"
04.02.2015,"202,5"
05.02.2015,"202,9"
06.02.2015,204
09.02.2015,204
10.02.2015,"204,3"
11.02.2015,"204,2"
12.02.2015,"204,5"
13.02.2015,"205,1"
16.02.2015,206
17.02.2015,"207,2"
18.02.2015,"207,6"
19.02.2015,"208,6"
20.02.2015,"209,3"
23.02.2015,"210,4"
24.02.2015,"210,5"
25.02.2015,"211,2"
26.02.2015,"211,7"
27.02.2015,"212,1"
02.03.2015,"213,4"
03.03.2015,"213,9"
04.03.2015,"214,3"
05.03.2015,"213,4"
06.03.2015,"214,2"
09.03.2015,"214,7"
10.03.2015,215
11.03.2015,"214,1"
12.03.2015,"214,1"
13.03.2015,216
16.03.2015,"216,6"
17.03.2015,"217,7"
18.03.2015,"217,8"
19.03.2015,"218,3"
20.03.2015,218
23.03.2015,"219,2"
24.03.2015,"219,2"
25.03.2015,"218,6"
26.03.2015,"218,4"
27.03.2015,"216,9"
30.03.2015,217
31.03.2015,"217,5"
01.04.2015,"218,4"
02.04.2015,"217,9"
03.04.2015,"217,9"
06.04.2015,"217,9"
07.04.2015,"219,3"
08.04.2015,"219,9"
09.04.2015,"221,1"
10.04.2015,"222,8"
13.04.2015,"225,2"
14.04.2015,"226,3"
15.04.2015,"226,4"
16.04.2015,"225,9"
17.04.2015,"225,3"
20.04.2015,"223,6"
21.04.2015,"223,4"
22.04.2015,"223,9"
23.04.2015,"224,5"
24.04.2015,"224,9"
27.04.2015,"224,4"
28.04.2015,"224,7"
29.04.2015,"224,1"
30.04.2015,"222,9"
01.05.2015,"222,9"
04.05.2015,"219,6"
05.05.2015,219
06.05.2015,"218,8"
07.05.2015,"217,2"
08.05.2015,"215,7"
11.05.2015,"217,4"
12.05.2015,219
13.05.2015,"219,1"
14.05.2015,"219,1"
15.05.2015,"218,7"
18.05.2015,"218,9"
19.05.2015,219
20.05.2015,"220,7"
21.05.2015,"222,5"
22.05.2015,"222,7"
25.05.2015,"222,7"
26.05.2015,"223,3"
27.05.2015,"223,9"
28.05.2015,"224,1"
29.05.2015,"223,7"
01.06.2015,"222,9"
02.06.2015,"222,1"
03.06.2015,"220,7"
04.06.2015,"220,7"
05.06.2015,"221,3"
08.06.2015,"218,5"
09.06.2015,"217,7"
10.06.2015,"215,5"
11.06.2015,"215,2"
12.06.2015,"216,8"
15.06.2015,"217,8"
16.06.2015,"216,9"
17.06.2015,"215,2"
18.06.2015,"214,8"
19.06.2015,"214,9"
22.06.2015,"215,1"
23.06.2015,"215,8"
24.06.2015,"217,7"
25.06.2015,"219,8"
26.06.2015,"219,1"
29.06.2015,"218,5"
30.06.2015,"216,4"
01.07.2015,"213,4"
02.07.2015,"214,5"
03.07.2015,"215,6"
06.07.2015,"214,7"
07.07.2015,"214,1"
08.07.2015,"212,7"
09.07.2015,"209,2"
10.07.2015,"208,9"
13.07.2015,"210,3"
14.07.2015,"214,3"
15.07.2015,"216,3"
16.07.2015,217
17.07.2015,"218,4"
20.07.2015,"219,9"
21.07.2015,220
22.07.2015,220
23.07.2015,"218,6"
24.07.2015,218
27.07.2015,217
28.07.2015,"215,1"
29.07.2015,"212,9"
30.07.2015,"213,9"
31.07.2015,"215,7"
03.08.2015,"215,6"
04.08.2015,"216,1"
05.08.2015,"216,5"
06.08.2015,"217,8"
07.08.2015,"217,8"
10.08.2015,"217,1"
11.08.2015,"217,1"
12.08.2015,"216,8"
13.08.2015,"213,9"
14.08.2015,"211,8"
17.08.2015,212
18.08.2015,"212,7"
19.08.2015,"212,6"
20.08.2015,"211,6"
21.08.2015,"208,7"
24.08.2015,"204,1"
25.08.2015,"197,3"
26.08.2015,"193,1"
27.08.2015,"196,3"
28.08.2015,"198,3"
31.08.2015,"201,8"
01.09.2015,"202,1"
02.09.2015,"199,5"
03.09.2015,"197,3"
04.09.2015,"198,2"
07.09.2015,"198,8"
08.09.2015,"197,2"
09.09.2015,"197,9"
10.09.2015,"199,9"
11.09.2015,200
14.09.2015,"198,9"
15.09.2015,"198,1"
16.09.2015,"198,6"
17.09.2015,"199,6"
18.09.2015,"200,4"
21.09.2015,"199,4"
22.09.2015,"198,5"
23.09.2015,"198,7"
24.09.2015,"195,8"
25.09.2015,195
28.09.2015,"194,6"
29.09.2015,"195,1"
30.09.2015,"192,2"
01.10.2015,"192,9"
02.10.2015,"195,3"
05.10.2015,"195,3"
06.10.2015,"197,4"
07.10.2015,"199,7"
08.10.2015,"200,6"
09.10.2015,"201,2"
12.10.2015,"201,4"
13.10.2015,"202,2"
14.10.2015,"201,9"
15.10.2015,"200,2"
16.10.2015,"200,6"
19.10.2015,"202,6"
20.10.2015,203
21.10.2015,"202,7"
22.10.2015,"202,9"
23.10.2015,"203,5"
26.10.2015,"203,5"
27.10.2015,"207,7"
28.10.2015,208
29.10.2015,"207,7"
30.10.2015,"208,8"
02.11.2015,"207,9"
